grade_id;course_id;check_point_id;student_id;grade
0;40;A1;2;-1.0
1;40;A1;417187;-1.0
2;40;A1;337994;-1.0
3;40;A1;79534;-1.0
4;40;A1;1437162;-1.0
5;40;A1;456624;-1.0
6;40;A1;238800;-1.0
7;40;A1;49587;0.0
8;40;A1;306184;-1.0
9;40;A1;1414599;-1.0
10;40;A1;1306662;0.7
11;40;A1;628639;-1.0
12;40;A1;437454;0.8
13;40;A1;530642;-1.0
14;40;A1;1408289;-1.0
15;40;A1;50696;-1.0
16;40;A1;437123;0.0
17;40;A1;1164643;-1.0
18;40;A1;423593;-1.0
19;40;A1;310443;-1.0
20;40;A1;1421730;-1.0
21;40;A1;1415456;-1.0
22;40;A1;1431136;-1.0
23;40;A1;1438667;-1.0
24;40;A1;1343244;-1.0
25;40;A1;1441589;-1.0
26;40;A1;472177;-1.0
27;40;A1;1439497;-1.0
28;40;A1;367852;-1.0
29;40;A1;274280;0.4
30;40;A1;352011;-1.0
31;40;A1;779536;-1.0
32;40;A1;99450;-1.0
33;40;A1;1442221;-1.0
34;40;A1;1442404;-1.0
35;40;A1;853381;-1.0
36;40;A1;1421743;0.8
37;40;A1;1442616;-1.0
38;40;A1;14646;-1.0
39;40;A1;1334083;-1.0
40;40;A1;1277701;-1.0
41;40;A1;1443084;-1.0
42;40;A1;1388992;-1.0
43;40;A1;1443364;-1.0
44;40;A1;437128;-1.0
45;40;A1;1443565;-1.0
46;40;A1;1430478;-1.0
47;40;A1;1433703;-1.0
48;40;A1;417575;-1.0
49;40;A1;664168;-1.0
50;40;A1;1428063;-1.0
51;40;A1;437111;-1.0
52;40;A1;1368365;0.1
53;40;A1;120091;-1.0
54;40;A1;850900;-1.0
55;40;A1;1138840;-1.0
56;40;A1;1430808;0.7
57;40;A1;1445331;-1.0
58;40;A1;358564;-1.0
59;40;A1;463675;-1.0
60;40;A1;1445066;-1.0
61;40;A1;1445073;-1.0
62;40;A1;756913;-1.0
63;40;A1;204626;-1.0
64;40;A1;940318;0.5
65;40;A1;324374;-1.0
66;40;A1;1422742;-1.0
67;40;A1;1442067;-1.0
68;40;A1;33777;-1.0
69;40;A1;390335;-1.0
70;40;A1;79826;-1.0
71;40;A1;1050916;0.8
72;40;A1;561305;-1.0
73;40;A1;460808;-1.0
74;40;A1;976783;1.0
75;40;A1;868;-1.0
76;40;A1;437050;1.0
77;40;A1;492281;-1.0
78;40;A1;66887;-1.0
79;40;A1;62900;-1.0
80;40;A1;117636;-1.0
81;40;A1;1336760;-1.0
